Status,Event_Date,Start_Time,End_Time,Type,Description,Borough,LocationofEvent,EventAddress,ActualParticipants,Postcode,Latitude,Longitude,CommunityBoard,CouncilDistrict ,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Completed (59),10/9/2018,1:00 PM,2:30 PM,RNY General Presentation (GEN),NYC Emergency Preparedness Presentation,Brooklyn,Cooper Park Senior Center,"288 Frost Street
Ground Level
Brooklyn, NY 11222",15,11222,40.718837,-73.939856,301,34,3327829,3028670001,44901,BK0104
Completed (59),10/9/2018,10:00 AM,12:00 PM,RNY for Kids (KIDS),Ready Girl,Queens,Goldie Maple Academy,365 Beach 56th St.,30,11692,40.593967,-73.786182,414,31,4301929,4158940011,97204,QN1402
Completed (59),10/9/2018,8:45 AM,11:15 AM,RNY for Kids (KIDS),Ready Girl,Queens,"PS 24, Andrew Jackson School",45-57 Union Street,1060,11355,40.75207,-73.818789,407,20,4607475,4052010021,1205,QN0705
Completed (59),10/10/2018,6:30 PM,8:30 PM,RNY Hurricane (H),Know Your Zone Presentation with Assemblywoman Pfeffer-Amato,Queens,TAG (Torah Academy for Girls),444 Beach 6th Street,10,11691,40.599195,-73.740543,414,31,4298759,4155910001,101002,QN1401
Completed (59),10/10/2018,7:30 PM,9:00 PM,RNY General Presentation (GEN),Emergency Preparedness for Tenants,Manhattan,Co-Op Building,550 Fort Washington Ave,40,10033,40.85383,-73.937283,112,10,1064394,1021800032,273,MN1202
Completed (59),10/10/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Restoration Plaza,1368 Fulton Street,100,11216,40.680175,-73.945717,303,36,3053786,3018620014,247,BK0301
Completed (59),10/10/2018,12:00 PM,3:00 PM,RNY Fair (FAIR),Ready NY Fair,Manhattan,John Jay College of Criminal Justice,"524 West 59th Street
Hound Square",100,10019,40.770786,-73.988512,104,6,1027084,1010870005,147,MN0701
Completed (59),10/10/2018,10:00 AM,4:00 PM,RNY Fair (FAIR),NY Marriott Marquis Hotel Health Fair,Manhattan,NY Marriott Marquis Hotel,1535 Broadway,150,10036,40.758267,-73.985468,105,3,1024727,1010177501,119,MN0502
Completed (59),10/10/2018,6:00 PM,8:00 PM,RNY Fair (FAIR),Community Resource Information Night,Brooklyn,Coney Island YMCA,2980 West 29th Street,50,11224,40.573421,-73.995015,313,47,3414027,3070510133,342,BK1302
Completed (59),10/11/2018,11:00 AM,1:00 PM,RNY Fair (FAIR),Preparedness Fair,Manhattan,WarnerMedia,One Time Warner Center,60,10019,40.768225,-73.983422,104,6,1026318,1010497501,145,MN0701
Completed (59),10/12/2018,11:25 AM,12:30 PM,RNY General Presentation (GEN),Creating Healthy Homes For Older Adults Library 2018 #4,Queens,Forest Hills Library,108-19 71st Avenue,33,11375,40.721777,-73.843378,406,29,4052345,4022230054,739,QN0602
Completed (59),10/13/2018,3:30 PM,5:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Manhattan,LDS Church - 3rd Floor,125 Columbus Ave,300,10023,40.773132,-73.981948,107,6,1028159,1011180001,149,MN0701
Completed (59),10/13/2018,10:00 AM,3:00 PM,RNY Fair (FAIR),Councilmember Debi Rose' Annual Community Fair,Staten Island,Tappen Park,105 Water Street,200,10304,40.627042,-74.077342,501,49,5013672,5005210037,21,SI0102
Completed (59),10/13/2018,12:00 PM,5:00 PM,RNY Fair (FAIR),Beacon Program Community Day,Queens,OWH I. S. 204 Queens School,"36-41 28th Street
Astoria, NY  11106",40,11106,40.757065,-73.932664,401,26,4004156,4003430001,51,QN0105
Completed (59),10/14/2018,10:00 AM,3:00 PM,RNY Fair (FAIR),7th Big Apple ASL Festival,Manhattan,South Street Seaport,Pier 16,200,10038,40.705195,-74.002474,101,1,1077339,1000730008,1502,MN0101
Completed (59),10/15/2018,11:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Preparedness,Brooklyn,SheepsheadBay Renal Care Center,26 Brighton 11 str,10,11235,40.581713,-73.956464,313,48,3245361,3087070375,61004,BK1303
Completed (59),10/15/2018,9:00 AM,9:30 AM,RNY for Kids (KIDS),Ready Girl,Bronx,Rose Hill Pre-K Center,3560 Webster Ave,44,10467,40.880854,-73.87065,212,11,2128358,2033607501,43501,BX1201
Completed (59),10/16/2018,8:00 AM,10:00 AM,RNY General Presentation (GEN),Ready New York for Parents,Queens,PS 89Q,8528 Britton Avenue,35,11373,40.745923,-73.880205,404,25,4037370,4015140001,27101,QN0401
Completed (59),10/16/2018,8:30 AM,4:00 PM,RNY Fair/Presentation (FP),Disaster Preparedness and Crisis Leadership Training and Networking Summit for Religious Leaders,Manhattan,4W43 Conference Center,4 W 43 Street,100,10036,40.754371,-73.980932,105,4,1034201,1012580042,96,MN0502
Completed (59),10/17/2018,11:00 AM,1:00 PM,RNY General Presentation (GEN),Be Prepared NY Presentation,Queens,Elmhurst Adult Day Care,"100-17 23rd Avenue, 
Elmhurst NY 11369",45,11369,40.768754,-73.870413,403,21,4447892,4016320020,357,QN0302
Completed (59),10/17/2018,8:00 AM,11:40 PM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,Boys Prep Bronx Elementary School,192 E 151st,250,,,,,,,,,
Completed (59),10/17/2018,6:00 PM,8:00 PM,RNY Fair (FAIR),East Harlem Resiliency Study Community Forum,Manhattan,Dream Charter School,1991 Second Ave,75,10029,40.788221,-73.944214,111,8,1000000,1016520001,164,MN1101
Completed (59),10/17/2018,9:30 AM,3:00 PM,RNY Fair (FAIR),Wagner Public Safety Day,Staten Island,Wagner College,One Campus Rd,100,,,,,,,,,
Completed (59),10/18/2018,6:00 PM,8:00 PM,RNY General Presentation (GEN),Brooklyn CB2 Transportation and Public Safety Committee Meeting,Brooklyn,Long Island University (LIU) Brooklyn,"The Arnold and Marie Schwartz: Hall of Arts and Humanities (H Building), room 604",15,,,,,,,,,
Completed (59),10/18/2018,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl Presentation,Queens,PS244Q,137-20 Franklin Ave Flushing,450,11355,40.754654,-73.826759,407,20,4541682,4051370043,79701,QN0707
Completed (59),10/18/2018,10:45 AM,12:50 PM,RNY for Kids (KIDS),Ready Girl,Brooklyn,P.S. 16 Leonard Dunkly,157 Wilson Street,220,11211,40.706023,-73.961476,301,34,3059906,3021770001,535,BK0103
Completed (59),10/18/2018,8:15 AM,11:45 AM,RNY for Kids (KIDS),Ready Girl,Bronx,PS 103,4125 Carpenter Avenue,1100,10466,40.892151,-73.861466,212,11,2062883,2048230001,420,BX1203
Completed (59),10/18/2018,12:30 PM,5:00 PM,RNY Fair (FAIR),Annual Senior Resource Fair,Manhattan,Temple Emanu-El,1 East 65th Street,500,10065,40.767928,-73.970036,108,4,1081210,1013800001,122,MN0802
Completed (59),10/18/2018,10:00 AM,2:00 PM,RNY Fair (FAIR),Health and Safety Fair 2018,Staten Island,Con Edison,1 Davis Ave,75,10310,40.644518,-74.110781,501,49,5106568,5001370001,9701,SI0104
Completed (59),10/19/2018,12:45 PM,2:20 PM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,"School of Math, Science, Technology through Arts",1919 Prospect Ave,265,10457,40.843546,-73.889755,206,15,2094582,2029510032,36901,BX0602
Completed (59),10/19/2018,9:00 AM,12:00 PM,RNY Fair (FAIR),Senator Andrew J. Lanza Annual Senior Fair,Staten Island,C.Y.O. at Mt. Loretto,6581 Hylan Blvd.,200,10309,40.509084,-74.22093,503,51,5123970,5076640001,198,SI0304
Completed (59),10/19/2018,10:00 AM,12:00 PM,RNY Business (B),Queens Small Business Resource Fair,Queens,Jamaica Central Library,"89-11 Merrick  Boulevard, Basement",19,11432,40.707865,-73.795295,412,27,4209635,4097980006,460,QN1201
Completed (59),10/20/2018,11:00 AM,2:00 PM,RNY Fair (FAIR),2018 Fall Festival,Bronx,Metro Community Health Centers,979 Cross Bronx Expressway,85,10460,40.838964,-73.882943,206,15,2120210,2030047501,359,BX0601
Completed (59),10/21/2018,9:00 AM,12:00 PM,RNY Fair/Presentation (FP),Resource Fair,Brooklyn,Calvary Community Church,1575 St. Johns Place,100,11233,40.670266,-73.924994,308,41,3036905,3013810001,359,BK0802
Completed (59),10/22/2018,1:30 PM,2:30 PM,RNY General Presentation (GEN),Emergency Preparedness Workshop,Manhattan,The Center @ the Red Oak-Dining Room,135 West 106 Street,65,10025,40.799919,-73.964459,107,7,1055957,1018610010,193,MN0703
Completed (59),10/22/2018,10:45 AM,11:45 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Manhattan,Pss/Manhattanville,530 West 133rd Street,35,10027,40.818127,-73.954478,109,7,1084130,1019840001,219,MN0902
Completed (59),10/22/2018,3:15 PM,4:15 PM,RNY General Presentation (GEN),Emergency Preparedness for Parents,Brooklyn,PS 73,251 MCdougal Street,35,11233,40.680318,-73.910644,316,37,3041561,3015280001,369,BK1601
Completed (59),10/22/2018,9:00 AM,9:45 AM,RNY for Kids (KIDS),Ready Girl,Bronx,Rose Hill Pre-K Broadway,"192 West 230th St., Gym",45,10463,40.876993,-73.905878,208,14,2016116,2032640109,283,BX0802
Completed (59),10/22/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Wynn Center,495 Gates Ave,70,11216,40.686639,-73.946989,303,36,3050974,3018090062,265,BK0301
Completed (59),10/22/2018,10:30 AM,2:00 PM,RNY Fair (FAIR),Preparedness Fair,Manhattan,Cravath Swaine and Moore,828 8th Ave,50,10019,40.762192,-73.986164,105,3,1085498,1010210001,125,MN0502
Completed (59),10/23/2018,2:00 PM,3:00 PM,RNY Hurricane (H),Emergency management for Seniors,Manhattan,Hamilton Madison House Smith NORC,50 Madison Street,12,10038,40.711958,-73.997825,103,1,1077420,1001110100,25,MN0301
Completed (59),10/23/2018,9:00 AM,10:15 AM,RNY for Kids (KIDS),Emergency Preparedness Presentation,Bronx,Inocensio Casanova P.S. 62,660 Fox Street,250,10455,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202
Completed (59),10/23/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Bronx,The High School for Teaching and the Professions,2780 Reservoir Avenue,93,10468,40.870293,-73.898309,207,11,2015241,2032470070,409,BX0702
Completed (59),10/23/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Staten Island,Petrides Campus,715 Ocean Terrace,30,10301,40.608512,-74.102067,502,50,5113169,5006830001,17701,SI0203
Completed (59),10/23/2018,11:00 AM,3:00 PM,RNY Fair (FAIR),City Hall in Your Borough: Queens Resource Fair,Queens,Elmcor Youth and Adult Activity Center,107-20 Northern Blvd.,75,11368,40.757795,-73.861637,403,21,4311969,4017220005,381,QN0303
Completed (59),10/24/2018,3:30 PM,4:30 PM,RNY General Presentation (GEN),RNY General Presentation,Manhattan,DONA PETRA SANTIAGO APARTMENTS,"717 EAST 9TH STREET 
NEW YORK, NY 10009",35,10009,40.725027,-73.977332,103,2,1088945,1003790053,28,MN0303
Completed (59),10/24/2018,2:30 PM,4:30 PM,RNY General Presentation (GEN),Ready NY,Manhattan,VISTAS NORC,"45 Fairview Ave., NY 10040",15,10040,40.857413,-73.929432,112,10,1064114,1021700520,283,MN1202
Completed (59),10/24/2018,11:30 AM,1:45 PM,RNY for Kids (KIDS),Ready Girl,Brooklyn,P.S. 236,6302 Ave U,575,11234,40.615998,-73.912989,318,46,3326821,3084640001,698,BK1802
Completed (59),10/24/2018,6:30 PM,8:00 PM,RNY Fair/Presentation (FP),Tabling event for Brooklyn CB 5,Brooklyn,CB 5 Brooklyn,1540 Van Siclen Ave,25,11239,40.648214,-73.877613,305,42,3343608,3044520200,105801,BK0504
Completed (59),10/25/2018,11:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Preparedness,Manhattan,Canaan Senior Service Center,"160 W. 116th Street
New York, NY 10026",40,10026,40.802725,-73.951371,110,9,1055056,1018250059,218,MN1001
Completed (59),10/25/2018,10:45 AM,11:30 AM,RNY for Kids (KIDS),Ready Girl,Bronx,Inocensio Casanova P.S. 62,660 Fox Street,325,10455,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202
Completed (59),10/25/2018,9:00 AM,11:30 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 69Q,77-02 37 Avenue,1000,11372,40.749266,-73.888817,403,25,4029892,4012880001,287,QN0301
Completed (59),10/25/2018,8:40 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Bronx,PS/MS 29-The Melrose School,758 Courtlandt Avenue,420,10451,40.821515,-73.917279,201,17,2001736,2024030001,69,BX0102
Completed (59),10/25/2018,6:30 PM,8:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,RiseBoro Youth Center,1474 Gates Avenue,65,11237,40.697788,-73.913906,304,37,3387654,3033440016,433,BK0402
Completed (59),10/25/2018,6:30 PM,8:00 PM,RNY Fair (FAIR),Housing Resource Fair,Manhattan,St. Peter's Church,619 Lexington Ave,75,10022,40.758698,-73.970744,106,4,1036474,1013087501,100,MN0604
Completed (59),10/26/2018,2:30 PM,5:00 PM,RNY for Kids (KIDS),RNY for Parents,Brooklyn,P.S. 236,6302 Ave U,150,11234,40.615998,-73.912989,318,46,3326821,3084640001,698,BK1802
Completed (59),10/26/2018,10:00 AM,1:00 PM,RNY Fair (FAIR),Queens County Supreme Court Pro Bono Day,Queens,Queens County Supreme Court- Civil,88-11 Sutphin Blvd,75,11435,40.704623,-73.809151,412,27,4207071,4096910001,238,QN1201
Completed (59),10/26/2018,4:00 PM,8:30 PM,RNY Fair (FAIR),Ready Girl at Gracie Mansion Halloween Party,Manhattan,Gracie Mansion,181 E. End Ave,200,10128,40.776309,-73.943758,108,5,1085796,1015920001,14402,MN0803
Completed (59),10/27/2018,10:30 AM,2:00 PM,RNY Fair (FAIR),U.S. Army Garrison Fort Hamilton Retiree Appreciation Day Wellness Fair,Brooklyn,U.S. Army Garrison Fort Hamilton,"Building 402, Fitness Center",60,,,,,,,,,
Completed (59),10/27/2018,9:00 AM,2:00 PM,RNY Fair (FAIR),Asian American Health Resource Fair,Brooklyn,Salvation Army,7307 18th Ave,100,11204,40.614447,-73.9949,311,43,3159086,3062050001,266,BK1101
Completed (59),10/29/2018,10:00 AM,12:30 PM,RNY General Presentation (GEN),Queens Adult Learning Center Presentation,Queens,Queens Adult Learning Center,27-35 Jackson Ave,75,11101,40.747962,-73.940046,402,26,4005127,4004320008,1902,QN0201
Completed (59),10/29/2018,2:30 PM,4:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Brooklyn,P373K - Brooklyn Transition Center,185 Ellery St,150,11206,40.698869,-73.945042,303,36,3048352,3017260014,257,BK0301
Completed (59),10/29/2018,6:30 PM,8:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Queens,Peninsula Preparatory Academy,611 New Haven Blvd,75,,,,,,,,,
Completed (59),10/30/2018,2:30 PM,4:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Manhattan,VISTAS NORC,11 Fort George Hill,15,10040,40.857442,-73.92782,112,10,1064066,1021700129,283,MN1202
Completed (59),10/30/2018,10:00 AM,1:45 PM,RNY for Kids (KIDS),Ready Girl at HHLA,Manhattan,Harlem Hebrew Language Academy Charter School,147 St. Nicholas Avenue,450,10026,40.804551,-73.95275,110,9,1058397,1019230049,218,MN1001
Completed (59),10/30/2018,9:15 AM,11:15 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,PS 90,2840 West 12 Street,600,11224,40.578255,-73.979628,313,47,3196558,3072660040,350,BK1302
Completed (59),10/30/2018,11:00 AM,4:00 PM,RNY Fair (FAIR),2018 Health & Benefits Fair,Manhattan,"JW Marriott Essex House N.Y.
2018' Employee Health & benefits fair","160 Central Park South New York, N.Y. 10019",100,10019,40.766613,-73.978473,105,6,1023760,1010117501,137,MN0502
Completed (59),10/31/2018,10:15 AM,11:15 AM,RNY General Presentation (GEN),Emergency Preparedness Workshop,Staten Island,Anderson Neighborhood Senior Center,"120 Anderson Avenue 
Staten Island, NY 10302",47,10302,40.634927,-74.134422,501,49,5024253,5010360019,213,SI0106
Completed (59),11/1/2018,8:15 AM,9:15 AM,RNY General Presentation (GEN),Emergency Preparedness Workshop,Brooklyn,P.S. 375,46 McKeever Pl,15,11225,40.665021,-73.959034,309,35,3034356,3013010001,325,BK0901
Completed (59),11/1/2018,5:00 PM,7:00 PM,RNY General Presentation (GEN),Parent Town Hall Meeting,Bronx,NYC DOE PS 35X,261 East 163rd Street,40,10451,40.827304,-73.91767,204,16,2101573,2024460043,18302,BX0401
Completed (59),11/1/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Manhattan,Harlem Center,441 Manhattan Ave,30,10026,40.806654,-73.955649,110,9,1088138,1019450051,257,MN1001
Completed (59),11/1/2018,8:30 AM,10:30 AM,RNY Fair (FAIR),Tabling at Central Brooklyn Dialysis Center,Brooklyn,Central Brooklyn Dialysis,818 Sterling Place,15,11216,40.672591,-73.951517,308,35,3031872,3012470029,31702,BK0802
Completed (59),11/3/2018,10:00 AM,3:00 PM,RNY Fair (FAIR),Ready New York Fair,Brooklyn,Salvation Army Bensonhurst Auditorium,7307 18th Ave,130,11204,40.614447,-73.9949,311,43,3159086,3062050001,266,BK1101
Completed (59),11/5/2018,10:00 AM,2:00 PM,RNY General Presentation (GEN),Ready NY Train the Trainer for Manhattan Interfaith Advisory Group,Manhattan,Health Action Center,161-169 East 110th St,15,10029,40.794509,-73.943685,111,8,1087779,1016387501,172,MN1101
Completed (59),11/5/2018,7:00 PM,9:00 PM,RNY General Presentation (GEN),Councilman Deutsch Community Forum,Brooklyn,PS 195,131 Irwin Street,50,11235,40.579451,-73.943819,315,48,3246519,3087520035,620,BK1503
Completed (59),11/5/2018,8:45 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Bronx,"Charles James Fox 150
School Auditorium",920 East 167th Street,900,10459,40.82636,-73.894398,202,17,2005681,2027170005,12701,BX0202
Completed (59),11/6/2018,12:30 PM,2:30 PM,RNY Fair/Presentation (FP),Emergency Preparedness,Queens,Newtown Dialysis Center,29-20 Newtown Avenue,40,11102,40.768971,-73.92193,401,22,4007673,4005940036,71,QN0103
Completed (59),11/7/2018,9:00 AM,10:45 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,PS 277,2529 Gerritsen Ave.,100,11229,40.596145,-73.928793,318,46,3242369,3085900650,666,BK1891
Completed (59),11/7/2018,12:30 PM,5:00 PM,RNY Fair (FAIR),"Andrew Heiskell Community, Culture, and Technology Fair",Manhattan,New York Public Library�s Stephen A. Schwarzman Building,476 Fifth Avenue,200,10018,40.752725,-73.981452,105,4,1034194,1012570001,84,MN0502
Completed (59),11/8/2018,8:30 AM,9:15 AM,RNY General Presentation (GEN),Emergency Prepardness Parent Workshop,Bronx,P.S. 96 Cafeteria,2385 Olinville Avenue,28,10467,40.860815,-73.868527,211,15,2049999,2043410013,33201,BX1104
Completed (59),11/8/2018,10:00 AM,12:00 PM,RNY General Presentation (GEN),Continuing Care Leadership Coalition Presentation,Manhattan,Continuing Care Leadership Coalition,555 West 57th Street,40,10019,40.770009,-73.990657,104,6,1027072,1010867502,13502,MN0402
Completed (59),11/8/2018,9:00 AM,10:45 AM,RNY for Kids (KIDS),READY GIRL,Brooklyn,PS/IS 226,6006 23rd Avenue,800,11204,40.615252,-73.97635,312,44,3172071,3065490024,446,BK1204
Completed (59),11/8/2018,6:30 PM,8:30 PM,RNY for Kids (KIDS),Safety Town Hall for Families,Queens,PS 173Q,"174-10 67 Avenue, Fresh Meadows, NY 11365",50,11365,40.734572,-73.795484,408,24,4149690,4069270022,1223,QN0803
Completed (59),11/8/2018,11:00 AM,2:00 PM,RNY Fair (FAIR),LEHMAN COLLEGE ANNUAL HEALTH AND WELLNESS BENEFITS FAIR,Bronx,Lehman College,250 Bedford Park Blvd W,100,10468,40.875028,-73.89286,207,11,2097309,2032470165,409,BX0702
Completed (59),11/9/2018,11:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Brooklyn,Independence Neighborhood Center,114 Taylor Street,30,11249,40.705508,-73.963702,301,34,3059905,3021760001,545,BK0103
Completed (59),11/9/2018,8:30 AM,11:45 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,19K108,200 Linwood Street,570,11208,40.681268,-73.884063,305,37,3087131,3039260045,117202,BK0501
Completed (59),11/9/2018,5:00 PM,9:00 PM,RNY Fair (FAIR),PS 10X Annual Fall Ball,Bronx,PS 10,2750 Lafayette Ave,30,10465,40.827471,-73.829753,210,13,2080231,2055470001,152,BX1002
Completed (59),11/11/2018,11:00 AM,3:00 PM,RNY Fair (FAIR),CNYC's 38th Annual Housing Conference,Manhattan,32BJ Headquarters,25 West 18th St.,250,10011,40.738947,-73.992826,105,3,1080646,1008207505,54,MN0501
Completed (59),11/11/2018,11:00 AM,3:00 PM,RNY Fair (FAIR),Annual Carnival/Bazaar,Bronx,Van Cortlandt Jewish Center,3880 Sedgwick Ave,75,10463,40.882997,-73.894008,208,11,2086830,2032460076,409,BX0702
Completed (59),11/13/2018,2:30 PM,3:30 PM,RNY General Presentation (GEN),PS1 Community Safety,Staten Island,PS1 The Tottenville School,58 Summit Street,15,10307,40.509037,-74.244118,503,51,5107854,5078980001,24401,SI0305
Completed (59),11/13/2018,9:00 AM,12:00 PM,RNY for Kids (KIDS),Ready NY for Kids,Bronx,Community School 134,"1330 Bristow Street 
Bronx, NY 10459",620,10459,40.831194,-73.894773,203,17,2010273,2029650082,153,BX0303
Completed (59),11/13/2018,8:15 AM,9:00 AM,RNY for Kids (KIDS),Tween Prepardness,Bronx,Castle Hill MS127 Auditorium,1560 Purdy Ave,300,,,,,,,,,
Completed (59),11/13/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Queens,Edward Byrne Center,116-25 Guy R. Brewer Blvd.,80,11434,40.686208,-73.784144,412,28,4464077,4123350049,278,QN1203
Completed (59),11/13/2018,8:30 AM,12:30 PM,RNY Fair (FAIR),CS 150 Literacy Fair,Bronx,PS 150X,920 East 167th St.,70,10459,40.82636,-73.894398,202,17,2005681,2027170005,12701,BX0202
Completed (59),11/14/2018,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl Assembly,Staten Island,Room 301,1625 Forest Avenue,250,10302,40.624773,-74.142525,501,49,5025214,5010650007,247,SI0106
Completed (59),11/14/2018,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready NY for Kids,Brooklyn,PS 91,532 Albany Avenue,300,11203,40.661886,-73.93994,309,40,3106599,3047940026,806,BK0902
Completed (59),11/15/2018,9:15 AM,10:15 AM,RNY General Presentation (GEN),Ready New York Presentation to Adults,Manhattan,High School for Environmental Studies,444 West 56th,15,,,,,,,,,
Completed (59),11/15/2018,11:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Preparedness,Manhattan,Henry Street Settlement Senior Center,"334 Madison Street
Lower Level",25,10002,40.713266,-73.983237,103,1,1077526,1002600001,202,MN0302
Completed (59),11/15/2018,12:30 PM,1:20 PM,RNY for Kids (KIDS),Ready Girl,Brooklyn,P.S. 375 Jackie Robinson,46 Mckeever Place,285,11225,40.665021,-73.959034,309,35,3034356,3013010001,325,BK0901
Completed (59),11/15/2018,4:30 PM,7:30 PM,RNY Fair (FAIR),Parent Connect Resource Fair,Queens,PS/IS 102Q (1st floor),55-24 Van Horn St,30,11373,40.733514,-73.877857,404,30,4437597,4028790031,479,QN0401
Completed (59),11/16/2018,9:00 AM,11:00 AM,RNY General Presentation (GEN),Parent Workshop,Bronx,PS 25,811 East 149th Street,10,10455,40.812619,-73.906063,201,8,2004772,2026640001,79,BX0102
Completed (59),11/16/2018,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Bronx,Webster Center,2255 Webster Ave,50,10457,40.855656,-73.895978,205,15,2013329,2031430203,38303,BX0503
Completed (59),11/16/2018,11:00 AM,3:00 PM,RNY Fair (FAIR),Fall Wellness Fair,Brooklyn,Independence Senior Center,114 Taylor Street,42,11249,40.705508,-73.963702,301,34,3059905,3021760001,545,BK0103
Completed (59),11/17/2018,9:00 AM,2:00 PM,RNY Fair (FAIR),Health Fair,Brooklyn,God of Prophecy,3915 Church Ave,60,11203,40.651248,-73.940728,317,40,3108910,3048760037,814,BK1703
Completed (59),11/17/2018,12:00 PM,3:00 PM,RNY Fair (FAIR),PS 315 Health Fair,Brooklyn,PS 315,2310 Glenwood Road,100,11210,40.633232,-73.954655,314,45,3205780,3075510026,772,BK1401
Completed (59),11/17/2018,3:00 PM,5:00 PM,RNY Fair (FAIR),Diwali Festival of Lights and Health Market,Bronx,Sotomayor Center,1000 Rosedal Ave,200,,,,,,,,,
Completed (59),11/18/2018,12:00 PM,2:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Bronx,"Lehman College, Campus Mission Academy",250 Bedford Park Blvd,200,10458,40.870949,-73.886452,207,11,2016944,2032970043,40702,BX0702
Completed (59),11/19/2018,8:30 AM,10:15 AM,RNY for Kids (KIDS),Ready Girl,Staten Island,PS 30 auditorium,"200 Wardwell ave
staten island ny 10314",850,10314,40.618439,-74.132645,501,50,5113069,5004230009,201,SI0105
Completed (59),11/20/2018,6:30 PM,7:30 PM,RNY General Presentation (GEN),PTA Town Hall Safety Meeting,Queens,PS 159,205-01 33rd Ave,50,11361,40.76936,-73.783943,411,19,4134525,4060380013,1099,QN1101
Completed (59),11/20/2018,10:00 AM,2:00 PM,RNY General Presentation (GEN),Ready NY Train the Trainer for Queens Interfaith Advisory Group,Queens,Health Action Center,"90-37 Parsons Blvd, (Basement Conference Room)",20,11432,40.703826,-73.800483,412,27,4208836,4097560006,44601,QN1201
Completed (59),11/20/2018,9:00 AM,1:00 PM,RNY General Presentation (GEN),"PS 152M, Emergency Preparedness Assembly",Manhattan,"PS 152M, Auditorium","93 Nagle Avenue
New York, NY 10040",550,10040,40.860412,-73.927936,112,10,1064149,1021730001,283,MN1202
Completed (59),11/20/2018,8:45 AM,1:30 PM,RNY for Kids (KIDS),Ready NY for Kids,Queens,PS 062,97-25 108 St Richmond Hill,950,11419,40.688577,-73.836162,409,29,4197909,4094100001,110,QN0903
Completed (59),11/20/2018,10:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,PS 705,443 St. Marks Ave,110,11238,40.676774,-73.960058,308,35,3028281,3011480050,305,BK0802
Completed (59),11/20/2018,1:00 PM,3:00 PM,RNY Fair/Presentation (FP),DaVita-Queens Village Fair,Queens,Davita-Queens Village Dialysis Center,222-02 Hempsted Avenue,30,,,,,,,,,
Completed (59),11/25/2018,6:00 PM,7:00 PM,RNY General Presentation (GEN),Presentation for the Brooklyn Transition Lions Club,Brooklyn,St. Therese de Lisieux church,4404 Avenue D and Troy Ave,10,11203,40.641786,-73.934968,317,45,3338988,3049780001,838,BK1702
Completed (59),11/26/2018,11:00 AM,12:30 PM,RNY General Presentation (GEN),Emergency preparedness,Brooklyn,Mill Basin Active Adults/Millennium Development,2075 East 68th Street,80,11234,40.618864,-73.910226,318,46,3237201,3084090001,69602,BK1802
Completed (59),11/27/2018,8:15 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Kids,Queens,PS 146,98-01 159th Avenue,590,11414,40.659873,-73.835068,410,32,4295163,4141680016,884,QN1003
Completed (59),11/28/2018,10:30 AM,1:00 PM,RNY General Presentation (GEN),Ready New York ESOL,Queens,Queens Adult Learning Center,27-35 Jackson Ave,100,11101,40.747962,-73.940046,402,26,4005127,4004320008,1902,QN0201
